year,type,filename
2004,d,esudb04d.csv.xz
2004,r,esudb04r.csv.xz
2004,h,esudb04h.csv.xz
2004,p,esudb04p.csv.xz
2005,d,esudb05d.csv.xz
2005,r,esudb05r.csv.xz
2005,h,esudb05h.csv.xz
2005,p,esudb05p.csv.xz
2006,d,esudb06d.csv.xz
2006,r,esudb06r.csv.xz
2006,h,esudb06h.csv.xz
2006,p,esudb06p.csv.xz
2007,d,esudb07d.csv.xz
2007,r,esudb07r.csv.xz
2007,h,esudb07h.csv.xz
2007,p,esudb07p.csv.xz
2008,d,esudb08d.csv.xz
2008,r,esudb08r.csv.xz
2008,h,esudb08h.csv.xz
2008,p,esudb08p.csv.xz
2009,d,esudb09d.csv.xz
2009,r,esudb09r.csv.xz
2009,h,esudb09h.csv.xz
2009,p,esudb09p.csv.xz
2010,d,esudb10d.csv.xz
2010,r,esudb10r.csv.xz
2010,h,esudb10h.csv.xz
2010,p,esudb10p.csv.xz
2011,d,esudb11d.csv.xz
2011,r,esudb11r.csv.xz
2011,h,esudb11h.csv.xz
2011,p,esudb11p.csv.xz
2012,d,esudb12d.csv.xz
2012,r,esudb12r.csv.xz
2012,h,esudb12h.csv.xz
2012,p,esudb12p.csv.xz
2013,d,esudb13d.csv.xz
2013,r,esudb13r.csv.xz
2013,h,esudb13h.csv.xz
2013,p,esudb13p.csv.xz
2014,d,esudb14d.csv.xz
2014,r,esudb14r.csv.xz
2014,h,esudb14h.csv.xz
2014,p,esudb14p.csv.xz
2015,d,esudb15d.csv.xz
2015,r,esudb15r.csv.xz
2015,h,esudb15h.csv.xz
2015,p,esudb15p.csv.xz
2016,d,esudb16d.csv.xz
2016,r,esudb16r_AROPE.csv.xz
2016,h,esudb16h.csv.xz
2016,p,esudb16p.csv.xz
2017,d,esudb17d.csv.xz
2017,r,esudb17r_AROPE.csv.xz
2017,h,esudb17h.csv.xz
2017,p,esudb17p.csv.xz
2018,d,esudb18d.csv.xz
2018,r,esudb18r_AROPE.csv.xz
2018,h,esudb18h.csv.xz
2018,p,esudb18p.csv.xz
2019,d,esudb19d.csv.xz
2019,r,esudb19r_AROPE.csv.xz
2019,h,esudb19h.csv.xz
2019,p,esudb19p.csv.xz
2020,d,esudb20d.csv.xz
2020,r,esudb20r_AROPE.csv.xz
2020,h,esudb20h.csv.xz
2020,p,esudb20p.csv.xz
2021,d,esudb21d.csv.xz
2021,r,esudb21r.csv.xz
2021,h,esudb21h.csv.xz
2021,p,esudb21p.csv.xz
2022,d,esudb22d.csv.xz
2022,r,esudb22r.csv.xz
2022,h,esudb22h.csv.xz
2022,p,esudb22p.csv.xz
2023,d,esudb23d.csv.xz
2023,r,esudb23r.csv.xz
2023,h,esudb23h.csv.xz
2023,p,esudb23p.csv.xz
2024,d,esudb24d.csv.xz
2024,r,esudb24r.csv.xz
2024,h,esudb24h.csv.xz
2024,p,esudb24p.csv.xz
